kb_model,location,roi_height,roi_width,angle,description
01A03M001-B01,C84,205,96,0,CHIP KYO C 1UF 25V K0402 X5R NON
01A03M001-B01,C73,205,96,0,CHIP CAP C 0.1U 25V K0402 X7R
01A03M001-B01,C169,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-B01,C168,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-B01,C8,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-B01,C76,205,96,90,CHIP CAP C 0.1U 25V K0402 X7R
01A03M001-B01,C72,205,96,0,CHIP CAP C 1UF 25V K0402 X5R NON
01A03M001-B01,C83,205,96,0,CHIP CAP C 1UF 25V K0402 X5R NON
01A03M001-B01,C75,205,96,0,CHIP CAP C 1UF 25V K0402 X5R NON
01A03M001-B01,C6,205,96,90,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-B01,C5,205,96,90,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-B01,C7,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C170,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C4,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C171,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C82,205,96,0,CHIP CAP C 1UF 25V K0402 X5R NON
01A03M001-T01,C1,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C79,205,96,0,CHIP CAP C 1UF 25V K0402 X5R NON
01A03M001-T01,C74,205,96,0,CHIP CAP C 1UF 25V K0402 X5R NON
01A03M001-T01,C172,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C173,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C167,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C78,205,96,0,CHIP CAP C 0.1U 25V K0402 X7R
01A03M001-T01,C80,205,96,0,CHIP CAP C 0.1U 25V K0402 X7R
01A03M001-T01,C2,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
01A03M001-T01,C77,205,96,0,CHIP CAP C 1UF 25V K0402 X5R NON
01A03M001-T01,C166,205,96,0,CHIP CAP C 0.1U 16V K0402 X7R
