kb_model,location,roi_height,roi_width,angle,description
03B01M004-B01,C2524,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2437,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2436,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C1732,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C2743,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C2627,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C1661,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C252,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C2975,650,250,90,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2525,650,250,90,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C1660,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C2523,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C184,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C2744,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C2339,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2773,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C1970,650,250,90,CHIP CAP EL 220U 4V M 7.3*4.3*2.
03B01M004-B01,C2775,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2776,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2196,650,250,180,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2255,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2628,650,250,90,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2052,650,250,90,CHIP CAP EL 220U 4V M 7.3*4.3*2.
03B01M004-B01,C183,650,250,90,CHIP CAP EL 470U 2.5V M7343 ESR4
03B01M004-B01,C2340,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2626,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2774,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2438,650,250,90,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-B01,C2341,650,250,90,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-T01,C2192,650,250,180,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-T01,C2284,650,250,0,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-T01,C2150,650,250,180,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-T01,C2010,650,250,0,CHIP CAP EL 220U 4V M 7.3*4.3*2.
03B01M004-T01,C2146,650,250,0,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-T01,C2974,650,250,270,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-T01,C2148,650,250,0,CHIP CAP EL 470U 2V M7342 ESR6
03B01M004-T01,C2092,650,250,0,CHIP CAP EL 220U 4V M 7.3*4.3*2.
03B01M004-T01,C2194,650,250,0,CHIP CAP EL 470U 2V M7342 ESR6
