kb_model,location,roi_height,roi_width,angle,description
01A03M001-T01,R77,295,130,90,CHIP RES 20K F 1/10W 0603(ROHS
01A03M001-T01,R78,295,130,90,CHIP RES 7.5K F 1/10W 0603
03B01M004-B01,R1265,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-B01,R1010,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-B01,R997,295,130,0,CHIP RES 0 J 1/10W 0603
03B01M004-B01,R301,295,130,90,CHIP RES 2.2 F 1/10W 0603
03B01M004-B01,R300,295,130,90,CHIP RES 2.2 F 1/10W 0603
03B01M004-B01,R2321,295,130,0,CHIP RES SMD 0603 10K F 1/10W
03B01M004-B01,R483,420,210,90,CHIP RESISTOR 0 J 1/8W 0805
03B01M004-B01,R51,460,245,90,CHIP RES 0 J 1/4W 1206
03B01M004-B01,R1591,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-B01,R1145,420,210,90,CHIP RESISTOR 0 J 1/8W 0805
03B01M004-B01,R1582,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-B01,R2561,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1984,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1851,460,245,90,CHIP RES 0R JUMPER 1/2W 1206
03B01M004-T01,R1389,295,130,90,CHIP RESISTOR 150 1% 1/10W 0603
03B01M004-T01,R799,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R40,420,210,90,CHIP RES 0 J 1/8W 0805
03B01M004-T01,R1221,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R1904,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R1277,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1271,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R2611,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R2221,295,130,90,CHIP RES 300 F 1/10W 0603
03B01M004-T01,R2204,295,130,0,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R1212,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1854,295,130,90,CHIP RES 3.3 F 1/10W 0603
03B01M004-T01,R1971,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R1327,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R2257,420,210,0,CHIP RESISTOR 0 J 1/8W 0805
03B01M004-T01,R2259,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1340,460,245,0,CHIP RES 0R JUMPER 1/2W 1206
03B01M004-T01,R2078,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R2361,420,210,90,CHIP RESISTOR 0 J 1/8W 0805
03B01M004-T01,R1768,460,245,90,CHIP RES  0 F 1/4W 1206
03B01M004-T01,R2329,295,130,90,CHIP RES 330 F 1/10W 0603
03B01M004-T01,R2333,295,130,90,CHIP RES 330 F 1/10W 0603
03B01M004-T01,R1262,295,130,0,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R2261,420,210,90,CHIP RESISTOR 0 J 1/8W 0805
03B01M004-T01,R1795,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1589,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R2105,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1786,295,130,90,CHIP RES 3.3 F 1/10W 0603
03B01M004-T01,R1569,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1342,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R2332,295,130,90,CHIP RES 330 F 1/10W 0603
03B01M004-T01,R820,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R2092,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R1817,460,245,0,CHIP RES 0R JUMPER 1/2W 1206
03B01M004-T01,R2030,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R2258,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1263,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R186,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R2593,295,130,0,CHIP RES 300 F 1/10W 0603
03B01M004-T01,R2337,295,130,90,CHIP RES 330 F 1/10W 0603
03B01M004-T01,R1766,295,130,90,CHIP RES 3.3 F 1/10W 0603
03B01M004-T01,R3028,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R1864,295,130,90,CHIP RES 3.3 F 1/10W 0603
03B01M004-T01,R3033,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R2049,295,130,90,CHIP RES 3.3 F 1/10W 0603
03B01M004-T01,R1829,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R1211,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R2011,295,130,90,CHIP RESISTOR 10 F 1/10W 0603
03B01M004-T01,R2097,295,130,90,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R2428,295,130,0,CHIP RES 0 J 1/10W 0603
03B01M004-T01,R1146,420,210,0,CHIP RESISTOR 0 J 1/8W 0805
03B01M004-T01,R2212,295,130,0,CHIP RESISTOR 10 F 1/10W 0603
